name,address1,cate_gories
Tom Bradley International Terminal,380 World Way,Airport Terminals
All Star Travel Group,11111 Santa Monica Blvd,
LAX Terminal 7,1 World Way,Airport Terminals
Zamperini Field,3301 Airport Dr,Airports
All Nippon Airways,380 World Way,Airlines
Southwest Airlines,100 World Way,Airlines
Aeromexico,200 World Way,Airlines
Philippine Airlines,380 World Way,Airlines
Delta Airlines,100 World Way,Airlines
Copa Airlines,380 World Way,Airlines
LAX Terminal 5,201 World Way,Airport Terminals
American Airlines,1 World Way,Airlines
United Airlines,100 World Way,Airlines
Air China,380 World Way,Airlines
Alaska Airlines,600 World Way,Airlines
Hollywood Club Crawl,,"Dance Clubs, Bars, Club Crawl"
Los Angeles Club Crawl,830 South Broadway,"Dance Clubs, Bars, Club Crawl"
LA Epic Club Crawls - Los Angeles,6671 Sunset Blvd,Club Crawl
LA 5 Star Club Crawl,1745 Wilcox Ave,"Dance Clubs, Party Bus Rentals, Club Crawl"
Burgundy Room,1621 N Cahuenga Blvd,"Dive Bars, Cocktail Bars"
Crane's Bar Downtown,810 S Spring St,"Dive Bars, Sports Bars"
90 West Lounge,12740 Culver Blvd,"Dive Bars, Sports Bars, Cocktail Bars"
NoBAR,10622 Magnolia Blvd,Dive Bars
Drawing Room,1800 Hillhurst Ave,Dive Bars
The Short Stop,1455 W Sunset Blvd,"Dive Bars, Lounges, Dance Clubs"
The Cinema Bar,3967 Sepulveda Blvd,"Dive Bars, Music Venues"
Hush Lounge,6533 Hollywood Blvd,
Legends Of The Sunset Strip,Sunset Blvd,"Bar Crawl, Historical Tours, Walking Tours"
Hank's Bar,840 S Grand Ave,Dive Bars
Maui Sugar Mill Saloon,18389 Ventura Blvd,"Dive Bars, Music Venues"
Frolic Room,6245 Hollywood Blvd,Dive Bars
Freddie's 35er Bar,12 E Colorado Blvd,"Dive Bars, Pool Halls, Sports Bars"
The Nectar,8626 Balboa Blvd,Dive Bars
Footsie's,2640 N Figueroa St,Dive Bars
Purple Orchid,221 Richmond St,"Lounges, Dive Bars"
VIP LA Club Crawl,6715 Hollywood Blved,Club Crawl
The Roost,3100 Los Feliz Blvd,"Dive Bars, Thai, Chicken Wings"
Boardner's,1652 N Cherokee Ave,"Dive Bars, Lounges, Dance Clubs"
Big Red Bus,,"Tours, Party & Event Planning, Party Bus Rentals"
Shadowplay Transit,,"Limos, Party Bus Rentals"
Ercoles 1101,1101 Manhattan Ave,"Dive Bars, Burgers"
V Room,918 E 4th St,"Pubs, Dive Bars"
Spark it Up Crawl,,Bar Crawl
Copper Bucket,17715 Vanowen St,Dive Bars
Five Star Bar,267 S Main St,"Dive Bars, Music Venues"
Hinano Café,15 Washington Blvd,"Dive Bars, Burgers"
A Day in LA Tours,1537 2nd St,Bus Tours
LA in a Day Tours,,"Transportation, Bus Tours"
Prince O' Whales,335 Culver Blvd,"Dive Bars, Sports Bars"
Serpentine Limo,324 E 20th St,"Limos, Airport Shuttles, Party Bus Rentals"
Sweetwater Saloon,1201 E Broadway,"Gay Bars, Dive Bars"
Williams Hart Transportation,,"Limos, Party Bus Rentals"
Shellback Tavern,116 Manhattan Beach Blvd,"Dive Bars, American (Traditional)"
Chungdam 828,3474 W 6th St,"Lounges, Bar Crawl"
Shanghai'd Room,16391 Beach Blvd,"Lounges, Dive Bars, Karaoke"
Jersey's Bar & Grill,1453 Aviation Blvd,"Dive Bars, American (Traditional)"
Los Angeles Magician Bar Crawls with Alex Kazam,,"Bar Crawl, Magicians"
Bac Street Lounge,2422 Artesia Blvd,"Dive Bars, Sports Bars, Karaoke"
United Limousine & Charter,7101 McNeil Ln,"Limos, Party Bus Rentals"
Cedillo Limousines,8475 Artesia Blvd,"Limos, Party Bus Rentals, Wine Tours"
Snug Harbor,5520 Del Amo Blvd,Dive Bars
The Queen Mary's Dark Harbor,1126 Queens Hwy,"Festivals, Tours"
Out Of The Box Events,501 Colorado Ave,"Party & Event Planning, Scavenger Hunts"
The Hangar Inn,1001 N Aviation Blvd,"Dive Bars, Sports Bars, American (Traditional)"
Club Tee Gee,3210 Glendale Blvd,"Dive Bars, Dance Clubs, Music Venues"
Limomyway,,Party Bus Rentals
LA Party Bus,21205 Main St,Party Bus Rentals
O'Connell's,2746 E 4th St,"Dive Bars, Pubs"
Clancy's,111 Main St,"Dive Bars, Irish, Sports Bars"
Limo 4 me,,"Limos, Party Bus Rentals, Airport Shuttles"
Sports Harbour,5150 W 190th St,"Sports Bars, Sandwiches, Dive Bars"
3636 Club,3636 E Broadway,Dive Bars
Crown Limousine LA,12300 W Washington Blvd,"Limos, Party Bus Rentals, Town Car Service"
Little Joy,1477 W Sunset Blvd,"Dive Bars, Pool Halls"
VIP Club Crawl Party Bus,5619 Hollywood Blvd,Club Crawl
Baddeley's Pourhouse,3348 E Broadway,"Sports Bars, Dive Bars"
Hollywood VIP Club Crawl Tours,,Club Crawl
F&Bar,3220 Glendale Blvd,"Cocktail Bars, Speakeasies"
Potions & Poisons,3514 W 8th St,"Cocktail Bars, Lounges, Karaoke"
Sunset & Vinyl,1521 Vine St,"Cocktail Bars, Lounges, Venues & Event Spaces"
Tenants of The Trees,2810 Hyperion Ave,"Cocktail Bars, Music Venues"
R Bar,3331 W 8th St,"Lounges, American (New), Cocktail Bars"
Cork & Batter,3900 W Century Blvd,"Cocktail Bars, Breakfast & Brunch"
Bar Lis,1541 Wilcox Ave,Lounges
Tiki Mermaid,13755 Fiji Way,"Boating, Boat Charters, Lounges"
Little Bar,757 S La Brea Ave,"Lounges, Cocktail Bars, Sports Bars"
Lost Property Bar,1704 N Vine St,Cocktail Bars
Apt 503,3680 Wilshire Blvd,"Lounges, Cocktail Bars"
The Normandie Club,3612 W 6th St,"Cocktail Bars, Lounges"
Star Night,3855 Wilshire Blvd,"Karaoke, Bars, Gastropubs"
Thirteen Play Lounge,3474 W 8th St,"Cocktail Bars, Music Venues, Specialty Food"
Kalaveras,401 Silverlake Blvd,Cocktail Bars
Mama Shelter Rooftop Bar,6500 Selma Ave,"American (New), Cocktail Bars, Wine Bars"
Seoul Salon Restaurant & Bar,3600 Wilshire Blvd,"Asian Fusion, Cocktail Bars, Pubs"
No Vacancy,1727 N Hudson Ave,"Cocktail Bars, Lounges"
M Bar,226 S Market St,Bars
Resident,428 S Hewitt St,"Cocktail Bars, Music Venues, Beer Gardens"
The Rendition Room,4349 Tujunga Ave,"Cocktail Bars, Lounges"
Honey Night,3526 W 8th St,"Korean, Bars"
Gold Line,5607 N Figueroa St,Cocktail Bars
Paper Tiger Bar,4574 Beverly Blvd,Bars
The Edmon,5168 Melrose Ave,"Cocktail Bars, American (New)"
Firefly,11720 Ventura Blvd,"American (New), Lounges, Cocktail Bars"
The Study Arts District,828 Traction Ave,"Cocktail Bars, Speakeasies, Lounges"
La Descarga,1159 N Western Ave,Lounges
Rabbit Hole,24 W Main St,"Lounges, Cocktail Bars"
Tiki-Ti Cocktail Lounge,4427 W Sunset Blvd,Tiki Bars
Uncool Bar,7881 Santa Monica Blvd,"Burgers, Chicken Wings, Cocktail Bars"
Republique,624 S La Brea Ave,"French, Breakfast & Brunch, Cocktail Bars"
Sunset Rooftop,6097 W Sunset Blvd,"Hookah Bars, Cocktail Bars, Mediterranean"
7 Kingdoms,11301 Olympic Blvd.,"Dance Clubs, Sports Bars, Mediterranean"
The Well,6255 W Sunset Blvd,"Lounges, Cocktail Bars"
Songbird Cafe,900 N Broadway,"Coffee & Tea, Cocktail Bars"
The Rooftop at The Wayfarer Downtown LA,813 Flower St,"American (New), Cocktail Bars, Tiki Bars"
General Admission,3311 Cahuenga Blvd,"American (Traditional), Sports Bars, Breakfast & Brunch"
Gold Room,1558 W Sunset Blvd,"Cocktail Bars, Sports Bars, Beer Bar"
Terra Cotta,3760 Wilshire Blvd,"Dance Clubs, Lounges, Cocktail Bars"
Lock & Key,239 S Vermont Ave,"Cocktail Bars, Pizza, Dance Clubs"
Escala,3451 W 6th St,"Colombian, Gastropubs, Cocktail Bars"
The Guest House,1750 Hillhurst Ave,"Cocktail Bars, American (New)"
Club 54,54 E Colorado Blvd,"Dance Clubs, Lounges"
The 1917,737 Lamar St,Wine Bars
Adults Only,7065 W Sunset Blvd,Bars
Skybar,8440 Sunset Blvd,Lounges
Capri Club,4604 Eagle Rock Blvd,"Bars, Italian"
Encanto,2121 Hillhurst Ave,"Bars, Latin American, Breakfast & Brunch"
The Queensberry,Figueroa Alley On 8th,"Cocktail Bars, Venues & Event Spaces, Dance Clubs"
Kiss Kiss Bang Bang,3531 Wilshire Blvd,"Lounges, Dance Clubs, Cocktail Bars"
Gamsung Pocha,3074 W 8th St,"Korean, Pubs"
LA Lounge,2521 W Manchester Blvd,Cigar Bars
Knucklehead,6202 Santa Monica Blvd,Dive Bars
The Rooftop by JG,9850 Wilshire Blvd,"American (New), Lounges, Tapas/Small Plates"
Desert 5 Spot,6516 Selma Ave,Cocktail Bars
The LINE LA,3515 Wilshire Blvd,"Hotels, Venues & Event Spaces, Cocktail Bars"
Mom's Bar,12238 Santa Monica Blvd,"Lounges, Dance Clubs, Sports Bars"
EP & LP,603 N La Cienega Blvd,"Cocktail Bars, American (New)"
Block Party,5050 York Blvd,Bars
The Roof at EDITION,9040 W Sunset Blvd,Cocktail Bars
Ka'teen,6516 Selma Ave,"Mexican, Cocktail Bars"
The Fleur Room,9201 Sunset Blvd,Lounges
Cara Cara,1100 S Broadway,"American (New), Cocktail Bars"
Juniper,8490 W Sunset Blvd,"Lounges, Cocktail Bars"
Bar Flores,1542 Sunset Blvd,Cocktail Bars
The Hideaway,421 N Rodeo Dr,"Steakhouses, Mexican, Cocktail Bars"
TOKKI - Korean Tapas,3465 W 6th St,"Korean, Lounges, Tapas Bars"
Tower Bar,8358 W Sunset Blvd,Bars
Gold-Diggers,5632 Santa Monica Blvd,"Bars, Hotels, Recording & Rehearsal Studios"
The CanTiki,1300 S Brand Blvd,"Tiki Bars, Cocktail Bars"
EightyTwo,707 E 4th Pl,"Arcades, Music Venues, Wine Bars"
A Simple Bar,3256 Cahuenga Blvd W,Bars
Break Room 86,630 S Ardmore Ave,"Dance Clubs, Karaoke, Speakeasies"
The Green Room,1250 E Harvard Rd,"Cocktail Bars, Lounges, Venues & Event Spaces"
GRANVILLE,8701 Beverly Blvd,"American (New), Cocktail Bars"
The Highlight Room,6417 Selma Ave,Lounges
Bathtub Gin,7174 Melrose Ave,"Cocktail Bars, Lounges"
Met Him At A Bar,801 S La Brea,"Italian, Cocktail Bars"
Bolita,864 N Virgil Ave,"Wine Bars, Beer Bar, Cocktail Bars"
Moonshadows,20356 Pacific Coast Hwy,"Seafood, American (New), Lounges"
Harriet's Rooftop,8490 Sunset Blvd,Cocktail Bars
Te'Kila,6541 Hollywood Blvd,"Bars, Mexican"
Sunny's Bikini Bar,20922 Lassen St,Sports Bars
The High Low Bar,3000 Los Feliz Blvd,Bars
Blue Collar,361 S Fairfax Ave,"Lounges, Cocktail Bars"
Élephante,1332 2nd St,"Lounges, Italian"
Pinky’s,1816-B North Vermont Ave,"Cocktail Bars, Tacos"
Bar Magnolia,939 S Figueroa St,"Lounges, Cocktail Bars"
The Butcher's Daughter,8755 Melrose Ave,"Vegetarian, Cocktail Bars, Gluten-Free"
Beauty & Essex,1615 Cahuenga Blvd,"Lounges, American (New)"
The Slipper Clutch,351 S Broadway,"Cocktail Bars, Arcades"
Sound Nightclub,1642 N Las Palmas Ave,"Bars, Dance Clubs, Music Venues"
Tempo Cantina,12056 Paramount Blvd,"Mexican, Bars, Desserts"
Next Door Lounge,1154 N Highland Ave,"Lounges, American (New)"
Toca Madera - Los Angeles,8450 W 3rd St,"Cocktail Bars, Mexican, Steakhouses"
Wolf & Crane Bar,366 E 2nd St,"Whiskey Bars, Cocktail Bars, Beer Bar"
Black Rabbit Rose,1719 N Hudson Ave,"Cocktail Bars, Performing Arts, Magicians"
The Greyhound Bar & Grill,5570 N Figueroa St,"American (Traditional), Pubs"
The Blue Room,916 S San Fernando Blvd,Lounges
Foxfire Room,12516 Magnolia Blvd,Dive Bars
The District by GS,3888 Crenshaw Blvd,"Bars, American (New), Seafood"
Power House,1714 N Highland Ave,"Cocktail Bars, Beer Bar, Dive Bars"
Thirsty Crow,2939 W Sunset Blvd,Bars
Library Bar,630 W 6th St,"American (New), Cocktail Bars"
The Venue,3470 Wilshire Blvd,"American (New), Karaoke, Venues & Event Spaces"
Horses,7617 Sunset Blvd,"American (New), Italian, Cocktail Bars"
Tiki No,4657 Lankershim Blvd,"Cocktail Bars, Tiki Bars"
The Woods,1533 N La Brea Ave,Lounges
Alchemy Bar,13817 Ventura Blvd,Bars
Nic's on Beverly,8265 Beverly Blvd,"Vegan, Cocktail Bars, Breakfast & Brunch"
The Grant,3515 Eagle Rock Blvd,Cocktail Bars
Sassafras,1233 N Vine St,"Cocktail Bars, Music Venues"
Fountain LA,2889 W Olympic Blvd,"Lounges, Sports Bars"
Tramp Stamp Granny's,1638 N Cahuenga Blvd,"Piano Bars, Cocktail Bars, Venues & Event Spaces"
4100 Bar,1087 Manzanita St,Bars
XO Piano Bar,105 S Artsakh Ave,Piano Bars
La Cuevita,5922 N Figueroa St,"Lounges, Cocktail Bars"
Apothéke,1746 N Spring St,Cocktail Bars
High Rooftop Lounge,1697 Pacific Ave,"Lounges, American (New), Venues & Event Spaces"
etta,8801 Washington Blvd,"American (New), Breakfast & Brunch, Cocktail Bars"
Arts District Brewing Company,828 Traction Ave,"American (Traditional), Cocktail Bars, Brewpubs"
El Tucanazo Bar,6203 Cherry Ave,Bars
General Lee's,475 Gin Ling Way,Cocktail Bars
Chica Bonita Lounge,11801 Ventura Blvd,"Lounges, Cocktail Bars, Dance Clubs"
Truly LA,218 Traction Ave,Cocktail Bars
Golden Road Brewing,5410 W San Fernando Rd,Breweries
Covell,4628 Hollywood Blvd,"Wine Bars, Beer Bar"
Bike Shed Moto Co - Los Angeles,1580 Industrial St,"Bars, Modern European, Breakfast & Brunch"
Las Perlas,7511 Santa Monica Blvd,"Cocktail Bars, Tacos, Music Venues"
Grandmaster Recorders,1518 N Cahuenga Blvd,"Lounges, Italian, Cocktail Bars"
Kalaveras,187 N Sierra Madre Blvd,"New Mexican Cuisine, Bars"
Blipsy Bar,369 N Western Ave,Dive Bars
Jazz at LACMA,5905 Wilshire Blvd,Jazz & Blues
Sip Little Tokyo,123 Astronaut Ellison S Onizuka St,"Bars, Dance Clubs"
The Auld Fella,9375 Culver Blvd,Irish Pub
Southland Beer,740 S Western Ave,"Beer Bar, Wine Bars"
Perch,448 S Hill St,"Lounges, French, Breakfast & Brunch"
Good Times at Davey Wayne's,1611 N El Centro Ave,"Speakeasies, Cocktail Bars, American (Traditional)"
Fanny's,6067 Wilshire Blvd,"Cocktail Bars, Diners"
Bacari Silverlake,3626 Sunset Blvd,"Mediterranean, Breakfast & Brunch, Cocktail Bars"
Melrose Umbrella,7465 Melrose Ave,"Cocktail Bars, Coffee & Tea, American (Traditional)"
Employees Only,7953 Santa Monica Blvd,"Cocktail Bars, American (New)"
Fuego Bar Grill,19563 Ventura Blvd,"American (New), Cocktail Bars"
The Village Idiot,7383 Melrose Ave,"Bars, American (Traditional), Gastropubs"
Good Housekeeping HLP,5635 N Figueroa St,Cocktail Bars
Melrose Station,7384 Melrose Ave,"Speakeasies, Cocktail Bars, Tapas/Small Plates"
Biergarten,206 N Western Ave,"Asian Fusion, Korean, Sports Bars"
Ella Beverly Hills,9360 Wilshire Blvd,Cocktail Bars
Sugar Suite,11858 Balboa Blvd,Bars
Moxie Lounge & Karaoke,1205 S Baldwin Ave,"Karaoke, Izakaya, Sushi Bars"
Forman's Whiskey Tavern,10149 Riverside Dr,"American (New), Whiskey Bars, Cocktail Bars"
Big Bar,1927 Hillhurst Ave,Cocktail Bars
Karnevil,6627 Hollywood Blvd,"Bars, American (New), Dinner Theater"
Seven Grand,515 W 7th St,"Lounges, Whiskey Bars"
The Snug,4108 W Magnolia Blvd,"Pubs, Cocktail Bars"
The Honor Bar,122 S Beverly Dr,"Bars, Sandwiches, Burgers"
Go Pocha,401 S Vermont Ave,"Korean, Bars"
Prime Time Pub,5556 Santa Monica Blvd,"Bars, Karaoke"
Formosa Cafe,7156 Santa Monica Blvd,"Asian Fusion, Cocktail Bars"
The Little Beach House,22716 Pacific Coast Hwy,"Lounges, Breakfast & Brunch, Cocktail Bars"
MESSHALL,4500 Los Feliz Blvd,"Bars, Breakfast & Brunch, American (New)"
365,3300 W 6th St,"Beer Bar, Wine Bars, Korean"
The Stowaway,416 S Spring St,"Cocktail Bars, Piano Bars, Music Venues"
The Bungalow Santa Monica,101 Wilshire Blvd,Lounges
Chess Park Lounge,231 N Brand Blvd,"Restaurants, Cocktail Bars, Lounges"
The Vermont Hollywood,1020 N Vermont Ave,"Stadiums & Arenas, Bars, Venues & Event Spaces"
The Roger Room,370 N La Cienega Blvd,Bars
Hermanito,2024 Sawtelle Blvd,"Cocktail Bars, Tacos, Beer Bar"
The North End of Hollywood,6423 Yucca St,Bars
The Famous,154 S Brand Blvd,"Lounges, Cocktail Bars, Whiskey Bars"
Melody Bar and Grill,9132 S Sepulveda Blvd,"Bars, American (New), Dance Clubs"
Residuals Tavern,11042 Ventura Blvd,"Sports Bars, Karaoke, Dive Bars"
Lilly Rose,813 Flower St,"Cocktail Bars, Lounges, Whiskey Bars"
The Cat & Fiddle Restaurant & Pub,742 N Highland Ave,"British, Pubs, American (New)"
Speakeasy,1000 Vin Scully Ave,Bars
The Friend,2611 Hyperion Ave,Cocktail Bars
The Rose Venice,220 Rose Ave,"Cafes, Breakfast & Brunch, Cocktail Bars"
Tabula Rasa Bar,5125 Hollywood Blvd,"Wine Bars, Beer Bar, Beer, Wine & Spirits"
Barcade,5684 York Blvd,"Bars, Arcades, American (New)"
Highland Park Brewery-Chinatown,1220 N Spring St,Breweries
The Bourbon Room,6356 Hollywood Blvd,Cocktail Bars
neat,11780 W Pico Blvd,"Cocktail Bars, Wine Bars, Beer Bar"
Bar Bohemien,9355 Culver Blvd,Cocktail Bars
The Misfit Restaurant + Bar,225 Santa Monica Blvd,"Bars, American (New), Breakfast & Brunch"
Cass Town,954 S Norton Ave,"Bars, Chicken Shop, Soup"
3rd Base LA,1562 N Cahuenga Blvd,"Sports Bars, Lounges, American (Traditional)"
Player One,5126 Lankershim Blvd,"Lounges, Arcades"
The Penthouse,1111 2nd St,"American (New), Breakfast & Brunch, Lounges"
Bar Louie - The Promenade at Downey,8860 Apollo Way,"Bars, Gastropubs, American (New)"
Tortugo,8788 W Sunset Blvd,Lounges
Archive Lounge,2010 North Highland Ave,Lounges
Gran Blanco,80 Windward Ave,"Cocktail Bars, Mediterranean"
Bottoms Up Bar,9080 Artesia Blvd,"Karaoke, Sports Bars"
Dirt Dog,2528 S Figueroa St,"Hot Dogs, Beer Bar"
Beachside Restaurant and Bar,4175 Admiralty Way,"American (New), Seafood, Breakfast & Brunch"
Beaches Weho,8928 Santa Monica Blvd,"Cuban, Gay Bars, American (New)"
Ballast Point Long Beach,110 N Marina Dr,Breweries
Fig Tree Venice,429 Ocean Front Walk,"Cafes, American (Traditional), Bars"
Venice Beach Bar & Kitchen,323 Ocean Front Walk,"Dive Bars, Music Venues, American (Traditional)"
Saltwater Deck,2630 E Ocean Blvd,American (New)
Shutters On The Beach,1 Pico Blvd,"Hotels, Venues & Event Spaces"
Beach House Hotel Hermosa Beach,1300 The Strand,Hotels
Big Deans Ocean Front Cafe,1615 Ocean Front Walk,"Bars, Burgers, Cafes"
Belles Beach House,24 Windward Ave,"Hawaiian, Tiki Bars, Izakaya"
Torrance Beach,387 Paseo de la Playa,Beaches
Water Grill - Santa Monica,1401 Ocean Ave,Seafood
The Waterfront Venice,205 Ocean Front Walk,"American (New), Beer Gardens, Tacos"
SALT Restaurant and Bar,13534 Bali Way,"American (New), Cocktail Bars, Breakfast & Brunch"
Sea Level Restaurant & Lounge,655 N Harbor Dr,"American (New), Lounges, Seafood"
The Strand House,117 Manhattan Beach Blvd,"Venues & Event Spaces, American (New), Cocktail Bars"
Tony's On the Pier,210 Fishermans Wharf,"Seafood, Cocktail Bars, Steakhouses"
Baja Beach Bar,6613 Hollywood Blvd,"Sports Bars, Mexican"
Coast Beach Cafe and Bar,1 Pico Blvd,"Bars, Seafood, American (New)"
The Slip Bar & Eatery,120 N International Boardwalk,"American (Traditional), Sports Bars"
Malibu Farm Restaurant,23000 Pacific Coast Hwy,"Salad, American (New), Coffee & Tea"
Rosenthal Wine Bar & Patio,18741 Pacific Coast Hwy,Wine Bars
JOEY Manhattan Beach,3120 N Sepulveda Blvd,"American (New), Lounges, Seafood"
Barnacles Bar & Grill,837 Hermosa Ave,"Dive Bars, American (Traditional)"
Duke's Malibu,21150 Pacific Coast Hwy,"American (New), Seafood, Breakfast & Brunch"
Manhattan Beach Post,1142 Manhattan Ave,"American (New), Tapas/Small Plates, Cocktail Bars"
Tony P's Dockside Grill,4445 Admiralty Way,"Sports Bars, Seafood, Breakfast & Brunch"
Back On the Beach,445 Pacific Coast Hwy,"American (Traditional), Breakfast & Brunch, Burgers"
Sloopy's Beach Cafe,3416 Highland Ave,"American (Traditional), Breakfast & Brunch, Bars"
Rock'N Fish,120 Manhattan Beach Blvd,"Seafood, Gastropubs"
The Lincoln,2536 Lincoln Blvd,"Wine Bars, Cocktail Bars, Beer Bar"
Playa Provisions,119 Culver Blvd,"Ice Cream & Frozen Yogurt, Seafood, Whiskey Bars"
Simmzy's - Manhattan Beach,229 Manhattan Beach Blvd,"American (Traditional), Gastropubs"
Hennessey's Tavern,8 Pier Ave,"Irish, Pubs, American (Traditional)"
The Venice Whaler,10 Washington Blvd,"American (Traditional), Cocktail Bars, Breakfast & Brunch"
ONYX Rooftop Bar,1301 Ocean Ave,"American (New), Lounges, Cocktail Bars"
Tonga Hut Tiki Lounge,12808 Victory Blvd,"Lounges, Tiki Bars"
The Pier House,7 Washington Blvd,"Seafood, Cocktail Bars, American (New)"
Nelson's,100 Terranea Way,"Seafood, Gastropubs, American (Traditional)"
Jonathan Beach Club,850 Palisades Beach Rd,"Lounges, Swimming Pools, Tennis"
StrandBar,117 Manhattan Beach Blvd,"Cocktail Bars, Lounges"
Laurel Hardware,7984 Santa Monica Blvd,"American (New), Bars"
The Albright,258 Santa Monica Pier,"Seafood, Beer Bar, Fish & Chips"
The Rabbit Hole,22105 Roscoe Blvd,"Lounges, Cocktail Bars, Dance Clubs"
El Torito,14433 1/2 Ventura Blvd,"Mexican, Bars, Breakfast & Brunch"
The Surfrider Malibu,23033 Pacific Coast Hwy,Hotels
Belmont Brewing,25 39th Pl,"Breweries, American (Traditional), Wine Bars"
Zinqué,1440 Lincoln Blvd,"French, Breakfast & Brunch, Cocktail Bars"
Beach & Brew,405 Washington Blvd,"Bars, American (New), Beer, Wine & Spirits"
Baja Sharkeez,52 Pier Ave,"Mexican, Sports Bars, Breakfast & Brunch"
Caña Rum Bar,714 W Olympic Blvd,"Cocktail Bars, Cigar Bars"
Broken Shaker at Freehand Los Angeles,416 West 8th St,"Cocktail Bars, American (New)"
The Boathouse on the Bay,190 N Marina Dr,"Steakhouses, Seafood, Sushi Bars"
Naja's Place,154 International Boardwalk,"Burgers, Bars"
Venice Beach,1500 Ocean Front Walk,"Beaches, Skate Parks"
Empire Hookah Lounge,15914 Halliburton Rd,"Hookah Bars, Tobacco Shops"
Baja Sharkeez,3600 Highland Ave,"Sports Bars, Mexican, Breakfast & Brunch"
Mezcalero Long Beach,525 E Broadway,"Cocktail Bars, Lounges"
Puesto - Huntington Beach,7821 Edinger Ave,"Mexican, Cocktail Bars"
Gladstones,17300 Pacific Coast Hwy,"Seafood, Comfort Food, Venues & Event Spaces"
The Colorado Bar,2640 E Colorado Blvd,Dive Bars
The Boulevard,3199 E Foothill Blvd,"Gay Bars, Karaoke"
71 Above,633 W 5th St,"American (Traditional), Cocktail Bars"
La Corona Bar & Grill,16623 Sherman Way,"Sports Bars, Mexican, Seafood"
The Rockefeller - Redondo Beach,1707 S Catalina Ave,"Gastropubs, Breakfast & Brunch, Coffee & Tea"
Mastro's Ocean Club,18412 Pacific Coast Hwy,"Seafood, Steakhouses, Bars"
The Harbor Room,195 Culver Blvd,Bars
GRANVILLE,270 S Lake Ave,"American (New), Cocktail Bars"
SHOREbar,112 W Channel Rd,Lounges
North Italia,840 S CA-1,"Pizza, Italian, Bars"
The Hangout Restaurant & Beach Bar - Seal Beach,901 Ocean Ave,"American (New), Seafood, Breakfast & Brunch"
Flora Rooftop Bar,2130 E Maple Ave,"Lounges, Cocktail Bars"
Venice Ale House,2 Rose Ave,"American (New), Gastropubs"
Great White,244 N Larchmont Blvd,"American (New), Breakfast & Brunch, Cocktail Bars"
Horny Corner,48-98 54th Pl,Beaches
Bacari PDR,6805 Vista Del Mar Ln,"American (New), Wine Bars, Breakfast & Brunch"
FishBar,3801 Highland Ave,"Seafood, Breakfast & Brunch, American (New)"
JOEY Woodland Hills,6344 Topanga Canyon Blvd,"American (New), Sushi Bars"
Carbon Beach Club,22878 Pacific Coast Hwy,"American (New), Breakfast & Brunch"
GuildHall,3516 W Victory Blvd,"Beer Bar, Cocktail Bars, Gastropubs"
Bluesalt Fish Grill,2515 Artesia Blvd,"Seafood, Salad, American (Traditional)"
